,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,0.17977336437369767,0.9421073717948718,0.9363662667764695,0.9937888198757764,0.9937888198757764,0.6689575559730772,0.29478363493378734,0.8649,0.9166666666666666,0.08088888888888889
1,1,390,0.08478497163368723,0.9716746794871794,0.9685705382184036,0.9995995194233079,0.9995995194233079,0.7030501561828807,0.22857078720986004,0.8657,0.9326666666666666,0.06433333333333334
2,2,390,0.05960642186423334,0.9805889423076923,0.9784316780555122,1.0,1.0,0.8379802005954936,0.4486069622593866,0.866,0.8733333333333333,0.1218888888888889
3,3,390,0.05053961470675392,0.9834334935897436,0.9815935900289339,1.0,1.0,0.8549971365475957,0.39276186586685585,0.8595,0.8956666666666667,0.09811111111111111
4,4,390,0.04185754877353947,0.9859375,0.9844400418493867,0.9993996397838704,0.9993996397838704,0.8179199178762073,2.5563307966984494,0.8612,0.4978888888888889,0.43455555555555553
5,5,390,0.03931098659731782,0.98671875,0.9852865887590428,0.9995995995995997,0.9995995995995997,0.8233184712597087,0.28198655978055065,0.8681,0.9173333333333333,0.081
6,6,390,0.03485014601580751,0.9882011217948717,0.9868904271183423,1.0,1.0,0.8961688864834702,0.6122774301280438,0.859,0.8387777777777777,0.152
7,7,390,0.03192076955038386,0.9891626602564103,0.9879799666110184,0.9997997997997998,0.9997997997997998,0.9165681751468514,0.5755311053403667,0.8652,0.8454444444444444,0.1511111111111111
8,8,390,0.03052629762573932,0.9894431089743589,0.9883148968372321,0.999599278701663,0.999599278701663,0.9851693458194974,0.3724561566618127,0.8666,0.8945555555555555,0.10322222222222223
9,9,390,0.02827360517052838,0.9908253205128205,0.9898281695156695,0.9997996794871795,0.9997996794871795,0.8620881038376048,0.24672430197537784,0.867,0.9238888888888889,0.07311111111111111
10,10,390,0.028457648631704684,0.9904847756410257,0.9894275284900285,1.0,1.0,0.8622401364241974,0.10745587672146273,0.8721,0.9597777777777777,0.03955555555555555
11,11,390,0.02469613627345564,0.9920673076923077,0.9911860936143694,1.0,1.0,0.9451486445680449,0.18135162364219276,0.8685,0.9462222222222222,0.05322222222222222
12,12,390,0.026886502948428433,0.9911057692307692,0.9901624749610505,0.9995991983967936,0.9995991983967936,1.0003751184366927,0.6690417179759119,0.8648,0.817,0.1758888888888889
13,13,390,0.020414544021686874,0.9936899038461539,0.993010417594159,0.9997998398718975,0.9997998398718975,0.8853737040411068,0.35561082858434867,0.8683,0.8933333333333333,0.10511111111111111
14,14,390,0.022629254669822657,0.9927083333333333,0.9918977874727329,1.0,1.0,0.876760126291951,0.4424746040727051,0.8703,0.8722222222222222,0.12544444444444444
15,15,390,0.022262248077104464,0.9927483974358975,0.9919430224794125,1.0,1.0,0.9537674648852288,0.8876511744210418,0.8643,0.7836666666666666,0.20622222222222222
16,16,390,0.022619150407785456,0.9921674679487179,0.9912977676882331,1.0,1.0,0.9377445027798037,0.31430866663724605,0.8682,0.9075555555555556,0.09011111111111111
17,17,390,0.01905631797450881,0.9937299679487179,0.9930779674597698,0.999599278701663,0.999599278701663,0.9373202591757231,0.275873526091307,0.8695,0.9217777777777778,0.07577777777777778
18,18,390,0.018730963238974652,0.9936498397435898,0.9929658979610008,0.9997998398718975,0.9997998398718975,0.9026066543935221,0.3301598149496065,0.8676,0.9137777777777778,0.08377777777777778
19,19,390,0.01933451049098482,0.993770032051282,0.9931220228820727,0.9995995194233079,0.9995995194233079,0.8608051711999918,0.40100269607255157,0.8686,0.8945555555555555,0.10222222222222223
20,20,390,0.019388810410059822,0.9931290064102564,0.9923878205128205,0.9997996794871795,0.9997996794871795,0.8764547022837627,0.5969593587895514,0.8675,0.8497777777777777,0.147
21,21,390,0.018010619322572332,0.9941907051282052,0.9935450842477798,1.0,1.0,0.7646348216111147,0.46948011828140473,0.8701,0.8813333333333333,0.11577777777777777
22,22,390,0.01641289283721469,0.9947115384615385,0.9941238008324615,1.0,1.0,0.9709324625473988,0.774256321745859,0.8661,0.823,0.1681111111111111
23,23,390,0.017254466739653324,0.9942107371794872,0.9935896009081399,0.9997997196074504,0.9997997196074504,0.9700416990473301,0.3161131353445456,0.8668,0.9081111111111111,0.091
24,24,390,0.01705736146795038,0.9944310897435897,0.9938349914313058,0.9997995590298657,0.9997995590298657,0.9590437815913672,0.2920084528520074,0.8723,0.9186666666666666,0.08044444444444444
25,25,390,0.01403016932525087,0.9955328525641025,0.9950369447164604,1.0,1.0,0.9173887786985953,0.4429847881407805,0.8668,0.8858888888888888,0.11188888888888888
26,26,390,0.018340830951376865,0.9940304487179488,0.9933673128714193,1.0,1.0,0.9455344676971436,0.22478165162701003,0.8574,0.9347777777777778,0.06466666666666666
27,27,390,0.01516394557928344,0.994951923076923,0.9944355413105413,0.9995993589743589,0.9995993589743589,0.9251730653304088,0.08700344470185294,0.8637,0.9704444444444444,0.029333333333333333
28,28,390,0.016484211505247422,0.994571314102564,0.9939677239844185,1.0,1.0,0.9126495500154133,0.5958683016434522,0.861,0.8616666666666667,0.13444444444444445
29,29,390,0.015325941841897124,0.9946714743589744,0.9940798112661636,1.0,1.0,0.9882871772669539,0.4149120655697836,0.8682,0.8944444444444445,0.10411111111111111
