,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,390,1.5887512745001378,0.41219951923076925,0.4340848894923101,0.21518733720697256,0.43498296934482067,1.3278451162048532,1.8299615047347377,0.5409,0.16255555555555556,0.5173333333333333
1,1,390,1.1554772519148313,0.5880008012820512,0.628883646399003,0.21972734562951082,0.5954290296712109,1.0020324897162523,1.3011663430173632,0.652,0.44855555555555554,0.4176666666666667
2,2,390,0.8769921447986212,0.6979366987179487,0.714861225489105,0.5455820476858345,0.4277699859747546,0.737169553961935,0.5373170014838098,0.7464,0.841,0.13844444444444445
3,3,390,0.7365794686934887,0.753525641025641,0.7716225239261073,0.5905811623246493,0.41402805611222443,0.739752137962776,0.11838103542891397,0.7561,0.9626666666666667,0.032
4,4,390,0.6589527243987108,0.7849158653846153,0.8046294235477409,0.6074148296593186,0.4186372745490982,0.6689556791812559,0.16902223245148928,0.7851,0.9435555555555556,0.04511111111111111
5,5,390,0.6143764817561859,0.7985777243589743,0.8212131329994435,0.594994994994995,0.42882882882882883,0.6083011646059495,0.17780028299336703,0.8057,0.9437777777777778,0.04877777777777778
6,6,390,0.5531839904112693,0.8182091346153846,0.8411493690044292,0.6117010619114406,0.423562412342216,0.6032409569885158,0.1782999689835058,0.8017,0.946,0.04677777777777778
7,7,390,0.5226408563363246,0.8306891025641026,0.8542621856220788,0.618436873747495,0.4156312625250501,0.5638422566124156,0.2201666687156113,0.8236,0.9412222222222222,0.052
8,8,390,0.4958564043427125,0.8397836538461538,0.8642524872576732,0.6195151272290123,0.423963133640553,0.5279384289361253,0.3659165239250156,0.8324,0.8876666666666667,0.10155555555555555
9,9,390,0.45913588752349216,0.8513621794871795,0.8765357905982906,0.6247996794871795,0.42247596153846156,0.5315409996841527,0.1256291112062377,0.8306,0.9568888888888889,0.03777777777777778
10,10,390,0.440903177131445,0.8592548076923077,0.8852017538002716,0.6255762677891361,0.42132691922228904,0.5445328901840162,0.19290157370793987,0.8386,0.944,0.05
11,11,390,0.4239725296313946,0.8653445512820512,0.8925145235604425,0.6208692169036651,0.4271980773082315,0.5014290198495116,0.37619723757387885,0.8431,0.8918888888888888,0.09777777777777778
12,12,390,0.4009507566690445,0.8704727564102565,0.8981994613963633,0.620765684505913,0.43034676287833235,0.39376148751264883,0.1612348457745893,0.8679,0.951,0.044444444444444446
13,13,390,0.3927672497737102,0.8741386217948718,0.903198522046876,0.6126577208091328,0.43621069497296217,0.45897782641121104,0.14472978433567874,0.8522,0.9538888888888889,0.041444444444444443
14,14,390,0.3739183918405802,0.8809094551282052,0.9084494502070071,0.6331597917501001,0.420905086103324,0.43052734510053564,0.1178505826269237,0.8661,0.959,0.03666666666666667
15,15,390,0.3573165986782465,0.88671875,0.9162437678062678,0.6209935897435898,0.4338942307692308,0.463077690593804,0.13122542639931953,0.8601,0.9602222222222222,0.036555555555555556
16,16,390,0.3447232874540182,0.8904847756410257,0.919764077453817,0.6268537074148297,0.4286573146292585,0.406580420045913,0.12663852736111206,0.8732,0.9618888888888889,0.034555555555555555
17,17,390,0.3386177528363008,0.8932692307692308,0.9232155972491153,0.6235718580877931,0.43756263780316695,0.4931992982761769,0.0756998598707994,0.8568,0.9716666666666667,0.025444444444444443
