,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0.9709700055122376,0.9084,0.24609443422737,0.027434154498082598,0.922,0.9904444444444445,0.009333333333333334
1,0.43748656930923463,0.9624,0.21683788290129433,0.06406903863084358,0.9307,0.9761111111111112,0.023666666666666666
2,0.3217059360980988,0.9612,0.2525472021366976,0.08259472712664537,0.9269,0.9677777777777777,0.032
3,0.2735644832611084,0.9644,0.25827990038485465,0.09647315541203592,0.927,0.9624444444444444,0.03722222222222222
4,0.2642648338317871,0.9656,0.25998986314369155,0.0984571802259331,0.9271,0.9617777777777777,0.03788888888888889
5,0.25930192761421206,0.9656,0.2627324963672252,0.098275651132137,0.9269,0.9621111111111111,0.03755555555555556
6,0.2606693149089813,0.9624,0.27253357537939576,0.10065273568034172,0.9269,0.9608888888888889,0.03866666666666667
7,0.24429434082508086,0.9664,0.2755127975457831,0.12047090150520835,0.9313,0.955,0.044
8,0.22765042254924775,0.9764,0.2642564471763901,0.16135839850340092,0.9361,0.9395555555555556,0.058444444444444445
9,0.20570169947147368,0.9788,0.26278099398824234,0.16152229606055876,0.9409,0.9396666666666667,0.058222222222222224
10,0.18142298843860627,0.9848,0.2566829406762425,0.15911450908637384,0.9446,0.9405555555555556,0.05733333333333333
11,0.16814320857524873,0.9884,0.2790112910391409,0.1607388029216041,0.9447,0.9403333333333334,0.057444444444444444
12,0.15531130471229554,0.9908,0.2616162196367602,0.17242784987033252,0.9475,0.9367777777777778,0.06077777777777778
13,0.15260426642894745,0.99,0.2669322307728514,0.17617439604561094,0.948,0.9362222222222222,0.06122222222222222
14,0.15004490489959718,0.9908,0.2651177952183953,0.17318139062591,0.9482,0.9365555555555556,0.06088888888888889
15,0.15086132049560547,0.99,0.26694711043110375,0.17299144987908888,0.9479,0.9365555555555556,0.06088888888888889
16,0.14938525714874268,0.9896,0.2654255443735968,0.17404493553117967,0.9484,0.9357777777777778,0.06166666666666667
17,0.14637822926044464,0.99,0.2614224111732048,0.17021623316784978,0.9486,0.9371111111111111,0.060444444444444446
18,0.13761330869197846,0.9924,0.2657784798854514,0.1886300042691365,0.9499,0.9322222222222222,0.0651111111111111
19,0.12832513620853425,0.9928,0.2628362443816813,0.18838539719581604,0.9502,0.9312222222222222,0.0661111111111111
