,num_pruned,all_filter_num,test_acc,test_asr,test_ra
0,0,512,0.8252,0.9748888888888889,0.023666666666666666
1,6,512,0.8253,0.9764444444444444,0.022555555555555554
2,12,512,0.8247,0.9777777777777777,0.021222222222222222
3,18,512,0.825,0.9792222222222222,0.019777777777777776
4,24,512,0.8255,0.9792222222222222,0.019777777777777776
5,30,512,0.8254,0.9778888888888889,0.021
6,36,512,0.8251,0.9771111111111112,0.021777777777777778
7,42,512,0.8252,0.9785555555555555,0.020444444444444446
8,48,512,0.8253,0.9781111111111112,0.020888888888888887
9,54,512,0.8254,0.9776666666666667,0.021333333333333333
10,60,512,0.8256,0.9772222222222222,0.021777777777777778
11,66,512,0.825,0.9775555555555555,0.021444444444444443
12,72,512,0.8251,0.9777777777777777,0.021222222222222222
13,78,512,0.8248,0.977,0.022
14,84,512,0.8246,0.9768888888888889,0.022111111111111113
15,90,512,0.8247,0.9757777777777777,0.02322222222222222
16,96,512,0.8252,0.9754444444444444,0.023555555555555555
17,102,512,0.8247,0.9761111111111112,0.023
18,108,512,0.8249,0.9757777777777777,0.02322222222222222
19,114,512,0.8251,0.9756666666666667,0.023333333333333334
20,120,512,0.8251,0.9774444444444444,0.021555555555555557
21,126,512,0.8248,0.9768888888888889,0.022111111111111113
22,132,512,0.8252,0.9768888888888889,0.022222222222222223
23,138,512,0.8259,0.977,0.022111111111111113
24,144,512,0.8255,0.9775555555555555,0.021444444444444443
25,150,512,0.8257,0.977,0.022
26,156,512,0.8253,0.9777777777777777,0.021222222222222222
27,162,512,0.8249,0.978,0.021
28,168,512,0.8255,0.9778888888888889,0.021111111111111112
29,174,512,0.8258,0.9774444444444444,0.021555555555555557
30,180,512,0.8265,0.9784444444444444,0.020555555555555556
31,186,512,0.8257,0.9786666666666667,0.02033333333333333
32,192,512,0.826,0.9792222222222222,0.019777777777777776
33,198,512,0.8253,0.9797777777777777,0.019222222222222224
34,204,512,0.8254,0.976,0.023
35,210,512,0.826,0.9772222222222222,0.021777777777777778
36,216,512,0.8258,0.9771111111111112,0.02188888888888889
37,222,512,0.825,0.9762222222222222,0.02277777777777778
38,228,512,0.825,0.9753333333333334,0.023666666666666666
39,234,512,0.8242,0.9734444444444444,0.025444444444444443
40,240,512,0.8246,0.9741111111111111,0.024888888888888887
41,246,512,0.8241,0.974,0.025
42,252,512,0.8239,0.9748888888888889,0.02411111111111111
43,258,512,0.8234,0.974,0.024888888888888887
44,264,512,0.8241,0.9757777777777777,0.02322222222222222
45,270,512,0.8239,0.973,0.025777777777777778
46,276,512,0.824,0.9722222222222222,0.02666666666666667
47,282,512,0.824,0.9731111111111111,0.02588888888888889
48,288,512,0.8239,0.9708888888888889,0.02788888888888889
49,294,512,0.8235,0.9713333333333334,0.027444444444444445
50,300,512,0.8237,0.9706666666666667,0.02811111111111111
51,306,512,0.8231,0.971,0.027777777777777776
52,312,512,0.8224,0.966,0.03233333333333333
53,318,512,0.822,0.9627777777777777,0.035222222222222224
54,324,512,0.8216,0.9643333333333334,0.033777777777777775
55,330,512,0.8213,0.9635555555555556,0.034444444444444444
56,336,512,0.8213,0.9611111111111111,0.036444444444444446
57,342,512,0.8196,0.9603333333333334,0.03677777777777778
58,348,512,0.819,0.9541111111111111,0.042222222222222223
59,354,512,0.8195,0.9526666666666667,0.043333333333333335
60,360,512,0.8198,0.9543333333333334,0.042
61,366,512,0.8196,0.9513333333333334,0.04455555555555556
62,372,512,0.8197,0.9511111111111111,0.04488888888888889
63,378,512,0.8201,0.9481111111111111,0.04755555555555555
64,384,512,0.8191,0.9405555555555556,0.05444444444444444
65,390,512,0.8193,0.9355555555555556,0.058333333333333334
66,396,512,0.819,0.9293333333333333,0.06355555555555556
67,402,512,0.8202,0.9302222222222222,0.06433333333333334
68,408,512,0.8206,0.9142222222222223,0.07922222222222222
69,414,512,0.8203,0.8912222222222222,0.10044444444444445
70,420,512,0.8211,0.8661111111111112,0.12255555555555556
71,426,512,0.82,0.8504444444444444,0.13655555555555557
72,432,512,0.8208,0.8535555555555555,0.13355555555555557
73,438,512,0.8206,0.8705555555555555,0.11888888888888889
74,444,512,0.8196,0.8666666666666667,0.12155555555555556
75,450,512,0.819,0.8716666666666667,0.11688888888888889
76,456,512,0.8176,0.8832222222222222,0.10666666666666667
77,462,512,0.8142,0.8652222222222222,0.12055555555555555
78,468,512,0.813,0.7883333333333333,0.18366666666666667
79,474,512,0.8148,0.7937777777777778,0.17622222222222222
80,480,512,0.8156,0.7454444444444445,0.20433333333333334
81,486,512,0.8061,0.7694444444444445,0.17622222222222222
82,492,512,0.7757,0.7028888888888889,0.224
83,498,512,0.7448,0.6351111111111111,0.2518888888888889
84,504,512,0.6128,0.5537777777777778,0.2081111111111111
