,num_pruned,all_filter_num,test_acc,test_asr,test_ra
0,0,768,0.8682,0.8944444444444445,0.10411111111111111
1,8,768,0.8678,0.8933333333333333,0.10533333333333333
2,16,768,0.8679,0.8942222222222223,0.10444444444444445
3,24,768,0.868,0.8956666666666667,0.10311111111111111
4,32,768,0.8681,0.8961111111111111,0.10266666666666667
5,40,768,0.868,0.8957777777777778,0.103
6,48,768,0.8683,0.8955555555555555,0.10322222222222223
7,56,768,0.8681,0.8967777777777778,0.102
8,64,768,0.8682,0.8975555555555556,0.10122222222222223
9,72,768,0.8679,0.8968888888888888,0.102
10,80,768,0.8682,0.8965555555555556,0.10222222222222223
11,88,768,0.8682,0.8973333333333333,0.10155555555555555
12,96,768,0.8678,0.8973333333333333,0.10155555555555555
13,104,768,0.868,0.8984444444444445,0.10044444444444445
14,112,768,0.8685,0.8981111111111111,0.10077777777777777
15,120,768,0.8681,0.8961111111111111,0.10277777777777777
16,128,768,0.8683,0.8952222222222223,0.10366666666666667
17,136,768,0.8682,0.8943333333333333,0.10455555555555555
18,144,768,0.8683,0.8947777777777778,0.10411111111111111
19,152,768,0.8678,0.8945555555555555,0.10433333333333333
20,160,768,0.8682,0.8955555555555555,0.10333333333333333
21,168,768,0.8681,0.8974444444444445,0.10144444444444445
22,176,768,0.8677,0.8964444444444445,0.10244444444444445
23,184,768,0.868,0.8958888888888888,0.103
24,192,768,0.8684,0.895,0.10377777777777777
25,200,768,0.8678,0.8935555555555555,0.10511111111111111
26,208,768,0.8681,0.8938888888888888,0.10477777777777778
27,216,768,0.8683,0.8954444444444445,0.10322222222222223
28,224,768,0.8679,0.8967777777777778,0.102
29,232,768,0.8685,0.8957777777777778,0.103
30,240,768,0.8682,0.8972222222222223,0.10155555555555555
31,248,768,0.8679,0.8974444444444445,0.10133333333333333
32,256,768,0.8678,0.8975555555555556,0.10122222222222223
33,264,768,0.8683,0.9002222222222223,0.09855555555555555
34,272,768,0.8678,0.8957777777777778,0.10277777777777777
35,280,768,0.8678,0.8966666666666666,0.10188888888888889
36,288,768,0.8677,0.8965555555555556,0.102
37,296,768,0.8676,0.8954444444444445,0.103
38,304,768,0.8675,0.8954444444444445,0.103
39,312,768,0.8676,0.8966666666666666,0.10177777777777777
40,320,768,0.8674,0.896,0.10244444444444445
41,328,768,0.8673,0.8968888888888888,0.10155555555555555
42,336,768,0.8673,0.8977777777777778,0.10088888888888889
43,344,768,0.8669,0.8975555555555556,0.101
44,352,768,0.8668,0.8958888888888888,0.10255555555555555
45,360,768,0.867,0.8961111111111111,0.10233333333333333
46,368,768,0.867,0.8967777777777778,0.10166666666666667
47,376,768,0.8671,0.8978888888888888,0.10055555555555555
48,384,768,0.8669,0.8992222222222223,0.09944444444444445
49,392,768,0.867,0.899,0.09955555555555555
50,400,768,0.867,0.895,0.10355555555555555
51,408,768,0.8666,0.8976666666666666,0.101
52,416,768,0.8668,0.8963333333333333,0.10233333333333333
53,424,768,0.8667,0.8975555555555556,0.10122222222222223
54,432,768,0.8665,0.8942222222222223,0.10433333333333333
55,440,768,0.8664,0.8945555555555555,0.104
56,448,768,0.8663,0.8966666666666666,0.10177777777777777
57,456,768,0.8664,0.8965555555555556,0.10188888888888889
58,464,768,0.8667,0.8963333333333333,0.102
59,472,768,0.8665,0.8963333333333333,0.102
60,480,768,0.8662,0.8961111111111111,0.10211111111111111
61,488,768,0.8662,0.8955555555555555,0.10266666666666667
62,496,768,0.8663,0.8968888888888888,0.10133333333333333
63,504,768,0.866,0.8952222222222223,0.103
64,512,768,0.8668,0.8954444444444445,0.10277777777777777
65,520,768,0.8672,0.8971111111111111,0.10111111111111111
66,528,768,0.8671,0.8967777777777778,0.10133333333333333
67,536,768,0.8666,0.8968888888888888,0.10133333333333333
68,544,768,0.8662,0.8993333333333333,0.09877777777777778
69,552,768,0.8662,0.8986666666666666,0.09977777777777778
70,560,768,0.8661,0.8985555555555556,0.09955555555555555
71,568,768,0.8656,0.8984444444444445,0.09966666666666667
72,576,768,0.8657,0.8997777777777778,0.09844444444444445
73,584,768,0.8658,0.9024444444444445,0.09566666666666666
74,592,768,0.8661,0.9026666666666666,0.09544444444444444
75,600,768,0.8649,0.9044444444444445,0.09366666666666666
76,608,768,0.8659,0.9045555555555556,0.09366666666666666
77,616,768,0.8645,0.9075555555555556,0.09066666666666667
78,624,768,0.8641,0.9091111111111111,0.08911111111111111
79,632,768,0.8642,0.912,0.08622222222222223
80,640,768,0.8638,0.9197777777777778,0.07844444444444444
81,648,768,0.8633,0.922,0.07622222222222222
82,656,768,0.8618,0.9186666666666666,0.07933333333333334
83,664,768,0.8612,0.9172222222222223,0.08077777777777778
84,672,768,0.8611,0.9187777777777778,0.0791111111111111
85,680,768,0.8603,0.9162222222222223,0.08155555555555556
86,688,768,0.8605,0.909,0.08888888888888889
87,696,768,0.8557,0.9053333333333333,0.09244444444444444
88,704,768,0.8541,0.9073333333333333,0.0898888888888889
89,712,768,0.8547,0.9198888888888889,0.07744444444444444
90,720,768,0.8536,0.9292222222222222,0.06822222222222223
91,728,768,0.8459,0.924,0.07266666666666667
92,736,768,0.8422,0.9076666666666666,0.08844444444444445
93,744,768,0.8328,0.9047777777777778,0.09066666666666667
94,752,768,0.827,0.849,0.13833333333333334
95,760,768,0.6972,0.8546666666666667,0.08811111111111111
