,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,4.360846531391144,0.3428,0.3428,2.589139521876468,3.213975170968284,0.1375,0.0,0.16133333333333333
1,1,20,2.2257894337177277,0.2628,0.2628,1.6345125029358683,3.56452472444991,0.4648,0.015444444444444445,0.467
2,2,20,1.1503930807113647,0.6376,0.6376,0.9488206905654714,6.452285558405057,0.6871,0.01911111111111111,0.6912222222222222
3,3,20,0.5940635114908218,0.8148,0.8148,0.39689291391191606,5.38951365376862,0.8742,0.03988888888888889,0.823
4,4,20,0.2562585357576609,0.918,0.918,0.3428038981141923,8.614504108966237,0.8907,0.0071111111111111115,0.8863333333333333
5,5,20,0.1469448920339346,0.954,0.954,0.2779189597202253,6.7067697820529135,0.9078,0.02666666666666667,0.8668888888888889
6,6,20,0.07888078978285193,0.9764,0.9764,0.22196823113326786,8.769148638550664,0.9267,0.012333333333333333,0.9055555555555556
7,7,20,0.0497730971314013,0.9876,0.9876,0.24161859009933623,9.546746052486796,0.925,0.01211111111111111,0.9127777777777778
8,8,20,0.03589654685929418,0.9884,0.9884,0.26041867593421214,9.199915832197162,0.9174,0.024333333333333332,0.8932222222222223
9,9,20,0.029979572957381607,0.9932,0.9932,0.24174238395983283,9.675632557398837,0.9241,0.014888888888888889,0.9028888888888889
10,10,20,0.03482540808618069,0.9888,0.9888,0.28623506219326694,9.436319727293203,0.9167,0.03777777777777778,0.8867777777777778
11,11,20,0.02503706346033141,0.992,0.992,0.254344047247609,10.264640472304652,0.9269,0.014777777777777779,0.9104444444444444
12,12,20,0.014347623474895954,0.9984,0.9984,0.22722491952060145,9.694365850636657,0.9319,0.014666666666666666,0.9135555555555556
13,13,20,0.01407490597339347,0.9968,0.9968,0.27932840199032916,8.714165378624285,0.9193,0.03222222222222222,0.8842222222222222
14,14,20,0.015464567125309258,0.9972,0.9972,0.2388594965863077,10.136905011996417,0.9314,0.02288888888888889,0.9117777777777778
15,15,20,0.008914177014958113,0.998,0.998,0.2342813135230843,10.499421442058724,0.9345,0.01877777777777778,0.9163333333333333
16,16,20,0.004137218621326611,1.0,1.0,0.20918975798766823,11.018489501845668,0.9393,0.012777777777777779,0.925
17,17,20,0.0025404517538845537,0.9996,0.9996,0.20452715711125843,10.365732072104871,0.9408,0.020777777777777777,0.9196666666666666
18,18,20,0.0019219951092964039,1.0,1.0,0.20260171252715437,10.786934288454727,0.942,0.018555555555555554,0.9197777777777778
19,19,20,0.0023399148805765433,1.0,1.0,0.2072288670143867,10.75164687465614,0.9413,0.01622222222222222,0.9232222222222223
