,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,12,0.15535440606375536,0.952,0.12911048494279384,4.268756257163154,0.9617,0.019777777777777776,0.9425555555555556
1,1,12,0.029253601174180705,0.9916666666666667,0.13963736090809106,5.372210290696886,0.9608,0.0047777777777777775,0.9603333333333334
2,2,12,0.014742930031691989,0.996,0.12713349079713226,5.467271791564094,0.9662,0.004333333333333333,0.9592222222222222
3,3,12,0.006778536907707651,0.9986666666666667,0.12211866299621761,5.892852226893107,0.9658,0.004111111111111111,0.9625555555555556
4,4,12,0.0038423798978328705,0.9996666666666667,0.12405555907898816,6.070571250385708,0.9649,0.004222222222222222,0.9638888888888889
5,5,12,0.0032024404305654266,0.9993333333333333,0.12866604197770357,6.1340962118572655,0.9654,0.003777777777777778,0.963
6,6,12,0.004886469648530086,0.9986666666666667,0.12227574377757264,6.137794123755561,0.9676,0.004555555555555556,0.9646666666666667
7,7,12,0.0021702198088557148,0.9996666666666667,0.12857859360519797,6.196275366677178,0.9672,0.004666666666666667,0.9651111111111111
8,8,12,0.0031779246686104066,0.9986666666666667,0.127954660076648,6.275278250376384,0.9684,0.0034444444444444444,0.9663333333333334
9,9,12,0.0020600460265995935,0.9993333333333333,0.1365900886245072,6.442236092355516,0.9665,0.004222222222222222,0.9643333333333334
10,10,12,0.001922185435735931,0.9993333333333333,0.1345286057330668,6.614609294467503,0.9669,0.0044444444444444444,0.9663333333333334
11,11,12,0.002086090282925094,0.9993333333333333,0.12841406633378938,6.64167152510749,0.9662,0.004666666666666667,0.9647777777777777
12,12,12,0.0012258124819103007,1.0,0.13321978682652116,6.667755325635274,0.9657,0.004222222222222222,0.9651111111111111
13,13,12,0.0012971164978807792,1.0,0.14702183110639452,6.715515123473273,0.9666,0.004333333333333333,0.9648888888888889
14,14,12,0.0013654984650202096,1.0,0.1260554342137766,6.773674103948805,0.9676,0.004333333333333333,0.9658888888888889
15,15,12,0.0015732545628755663,0.9993333333333333,0.12571701109409333,6.820050080617269,0.968,0.0034444444444444444,0.9677777777777777
16,16,12,0.000768087503577893,1.0,0.13636009087786077,6.858052002059089,0.9677,0.0034444444444444444,0.9668888888888889
17,17,12,0.0007635237949822719,1.0,0.125229620677419,6.891500314076741,0.9674,0.0028888888888888888,0.9674444444444444
18,18,12,0.0006892517946350077,1.0,0.12468712950940244,6.873248722818163,0.9674,0.0026666666666666666,0.968
19,19,12,0.0009019413701025769,1.0,0.13268703324720263,6.879742503166199,0.9676,0.0026666666666666666,0.9677777777777777
