,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,0.2668451439589262,0.9088,0.563013502314121,4.45264591633434,0.859,0.2688888888888889,0.5204444444444445
1,1,20,0.14019533172249793,0.9524,0.46973126860264736,6.191894336485527,0.8828,0.1521111111111111,0.5405555555555556
2,2,20,0.07592210248112678,0.9752,0.4368940459776528,6.900426931784186,0.8904,0.112,0.556
3,3,20,0.06633139410987496,0.9776,0.5406031295468535,9.481291663478798,0.8728,0.06544444444444444,0.42833333333333334
4,4,20,0.05808844673447311,0.98,0.48259341169761705,6.51026042750184,0.8859,0.22266666666666668,0.5422222222222223
5,5,20,0.03427131497301161,0.9888,0.5115011081665377,8.938405795836113,0.8844,0.1401111111111111,0.4315555555555556
6,6,20,0.03565480345860124,0.9872,0.4870869849301592,7.758249880562366,0.8894,0.16855555555555554,0.545
7,7,20,0.024323572078719734,0.9952,0.49126775044051907,8.8038712555254,0.8918,0.12255555555555556,0.5437777777777778
8,8,20,0.031682750955224034,0.9892,0.6057566078026083,7.550638642109615,0.8764,0.2548888888888889,0.4062222222222222
9,9,20,0.02802829151041806,0.9908,0.571767313665227,8.71252916900205,0.8815,0.12322222222222222,0.5927777777777777
10,10,20,0.026288187131285667,0.9912,0.5967937936133976,8.082030041117063,0.8752,0.19966666666666666,0.516
11,11,20,0.01870853789150715,0.9948,0.5587991563768326,9.676032758094895,0.8812,0.16144444444444445,0.4812222222222222
12,12,20,0.024820300424471496,0.99,0.650540856998178,11.609269854048607,0.8769,0.08488888888888889,0.5106666666666667
