,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,0.18016222403384746,0.9504,0.12513641117117072,0.36263919338374073,0.9611,0.8954444444444445,0.09988888888888889
1,1,20,0.06859808955341577,0.9796,0.16870867786339566,1.255461120269668,0.9493,0.6942222222222222,0.2866666666666667
2,2,20,0.057967209815979005,0.982,0.1874892529618891,2.1485289133770364,0.9439,0.5332222222222223,0.41455555555555557
3,3,20,0.06779517941176891,0.98,0.20976263345985474,2.2133895746419125,0.9368,0.505,0.4027777777777778
4,4,20,0.06476803822442889,0.9788,0.16512550795568695,1.2722369256153914,0.952,0.6485555555555556,0.32766666666666666
5,5,20,0.05797840859740973,0.982,0.17871677917958814,2.327008563028255,0.9476,0.5046666666666667,0.44755555555555554
6,6,20,0.04120864169672132,0.986,0.21302377479740336,2.069501044045032,0.9433,0.5011111111111111,0.441
7,7,20,0.020417091576382516,0.9948,0.19555661503131253,2.4245824881002935,0.9494,0.508,0.4458888888888889
8,8,20,0.011922655237140135,0.9964,0.20975950025493587,2.7228338953474878,0.944,0.46855555555555556,0.4776666666666667
9,9,20,0.015034275996731595,0.9944,0.23299124940663954,2.1286394931900667,0.9382,0.5471111111111111,0.414
10,10,20,0.020316212670877576,0.9956,0.23774707279627835,2.62242788999853,0.9412,0.4716666666666667,0.47455555555555556
11,11,20,0.034975252998992803,0.9888,0.23633976926720596,3.1811746476401743,0.9388,0.40655555555555556,0.5261111111111111
12,12,20,0.03318634643219411,0.9908,0.2388261480704893,2.1398980600733153,0.9353,0.5194444444444445,0.43366666666666664
13,13,20,0.03317054545041174,0.9896,0.19877629774280742,4.253341426312084,0.945,0.2548888888888889,0.6377777777777778
14,14,20,0.016592682537157087,0.9952,0.28637100991946235,4.465564166995841,0.9316,0.22044444444444444,0.6161111111111112
15,15,20,0.015219207480549812,0.994,0.26001954587954507,3.8189962682589678,0.9374,0.2896666666666667,0.5864444444444444
16,16,20,0.02287487471476197,0.9932,0.2194431555940758,4.798495712414594,0.9416,0.20533333333333334,0.6847777777777778
17,17,20,0.026351774763315915,0.9932,0.2735471261453025,4.4398740211003265,0.9277,0.24466666666666667,0.6392222222222222
18,18,20,0.02631191451800987,0.9924,0.2139820025031325,4.065719980589101,0.9424,0.24522222222222223,0.6483333333333333
19,19,20,0.016844762966502457,0.9952,0.19863448529268463,4.698508524558913,0.9439,0.177,0.6867777777777778
