,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0.3827278580188751,0.9888,0.1022190791554749,1.9394510024123721,0.9676,0.32,0.6576666666666666
1,0.30899889822006227,0.992,0.11921287393197418,2.2000345057911344,0.9615,0.24322222222222223,0.7284444444444444
2,0.2137900404691696,0.9916,0.157388505525887,1.8827857375144958,0.9583,0.28633333333333333,0.6873333333333334
3,0.1469420474410057,0.9912,0.16779711293056607,1.52739926510387,0.9623,0.36044444444444446,0.6226666666666667
4,0.11824814598560333,0.994,0.16855445224791765,1.7989152802361383,0.9653,0.281,0.7015555555555556
5,0.10457757414579391,0.9956,0.17501313164830207,1.9387602276272244,0.9663,0.24333333333333335,0.7372222222222222
6,0.09531984775066375,0.9984,0.1823720395565033,1.9655984971258376,0.9661,0.23466666666666666,0.7456666666666667
7,0.08913139020204544,0.998,0.18590689785778522,1.979193949037128,0.9666,0.23077777777777778,0.7496666666666667
8,0.08704598072767257,0.9984,0.1892535164952278,1.9852127267254724,0.9667,0.23,0.7507777777777778
9,0.08662278258800507,0.9988,0.18424519542604684,1.9757870237032573,0.9668,0.2301111111111111,0.7506666666666667
10,0.08772255785465241,0.9988,0.18611208274960517,1.9848879509501987,0.9668,0.23022222222222222,0.7504444444444445
11,0.08659040042161942,0.9976,0.18387262523174286,1.9857853088113997,0.9668,0.2298888888888889,0.7507777777777778
12,0.08456863288879395,0.9996,0.1831096563488245,1.9705740014712017,0.9671,0.22922222222222222,0.7518888888888889
13,0.08323850301504135,0.9968,0.18659028112888337,1.9917965200212266,0.9673,0.22466666666666665,0.7558888888888889
14,0.077550463950634,0.998,0.18820043317973614,2.0025915337933435,0.968,0.21966666666666668,0.7607777777777778
15,0.07058118453025818,0.9996,0.18699595853686332,2.0155769222312503,0.9691,0.211,0.7703333333333333
16,0.06332203372716903,1.0,0.18757205829024315,2.0983124640252857,0.9697,0.18833333333333332,0.7923333333333333
17,0.057259442031383515,0.9992,0.17941326294094323,2.13304211695989,0.9708,0.18022222222222223,0.8002222222222222
18,0.049753822124004365,1.0,0.18712623678147794,2.2059811684820385,0.9714,0.15844444444444444,0.8212222222222222
19,0.04401412456035614,1.0,0.1839919650927186,2.2184024386935763,0.9714,0.14833333333333334,0.8317777777777777
