,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,20,0.04730410263873637,0.9852,0.18441580632064916,8.385875191487058,0.9496,0.004666666666666667,0.9518888888888889
1,1,20,0.03770702154142782,0.988,0.12391791280500497,6.825294131964025,0.9631,0.006666666666666667,0.9532222222222222
2,2,20,0.015071129938587547,0.9948,0.16034261585225032,6.663376385057476,0.957,0.0014444444444444444,0.9537777777777777
3,3,20,0.010471407417207956,0.996,0.1293376739036669,6.167113626506967,0.9646,0.0047777777777777775,0.9516666666666667
4,4,20,0.0101511470915284,0.9956,0.14101030397718137,7.009632540420747,0.9625,0.0044444444444444444,0.9585555555555556
5,5,20,0.01313711132388562,0.9968,0.14105813976530504,7.021201321776484,0.9621,0.003,0.9555555555555556
6,6,20,0.008206815796438605,0.9976,0.16833234106815315,5.947678028697699,0.9575,0.008444444444444444,0.949
7,7,20,0.0071076360996812585,0.9976,0.19079495106139988,6.384436614076856,0.9543,0.004222222222222222,0.9442222222222222
8,8,20,0.0170801225642208,0.9928,0.22976589811187756,6.932864437640553,0.9411,0.005666666666666667,0.9268888888888889
9,9,20,0.018727653380483388,0.9948,0.2070905516702163,6.401628568138875,0.9515,0.010333333333333333,0.9344444444444444
10,10,20,0.02528729985933751,0.9928,0.22882451246716554,6.614720404987604,0.9442,0.004111111111111111,0.9307777777777778
11,11,20,0.028741271793842317,0.9924,0.2297101838490631,6.164868421957526,0.9414,0.010222222222222223,0.9283333333333333
12,12,20,0.01821288364008069,0.994,0.18578265211250208,6.325962422599255,0.9521,0.0054444444444444445,0.9425555555555556
13,13,20,0.013224853482097388,0.9956,0.21820207043916365,6.691331708934945,0.9414,0.0015555555555555555,0.9363333333333334
14,14,20,0.015431573474779725,0.9956,0.17143567921475897,6.920039412001489,0.9551,0.005666666666666667,0.9453333333333334
15,15,20,0.0074717218085424975,0.9992,0.16160667034549803,6.773234548703046,0.9565,0.0047777777777777775,0.9491111111111111
16,16,20,0.0031101442873477936,0.9988,0.16340174426949478,6.389679270730892,0.9598,0.004555555555555556,0.9473333333333334
17,17,20,0.0033312670595478265,0.9988,0.21815741918037965,6.056735032041308,0.9471,0.007555555555555556,0.9262222222222222
18,18,20,0.004606839828193187,0.9988,0.18849286088083364,6.767074759577362,0.9537,0.004666666666666667,0.9445555555555556
19,19,20,0.007816108223050833,0.9968,0.23051724889421765,6.415538445324965,0.9456,0.0071111111111111115,0.9281111111111111
